TimeStamp, Ax, Ay, Az, Gx, Gy, Gz
1420221601470561511, -2.097321, 1.896208, -13.019669, 1.563808, -2.209358, 1.466869
1420221594699284577, -14.571112, -7.359776, -12.294226, 1.830124, 3.310842, -0.947020
1420221590747296391, -9.516952, -15.322891, -14.738706, 0.800014, 5.550028, -0.150202
1420221591737752358, 0.474052, 2.990358, -10.081984, 2.960370, -6.009157, 3.904194
1420221601700586397, -2.585738, -1.295263, 4.400543, -4.370780, -2.750513, -2.622681
1420221597764975898, -1.312023, -13.493721, -5.353435, 8.674448, 3.780623, 0.208792
1420221593383605335, -15.674838, -10.515334, -8.803479, 1.308145, 6.791061, -1.731055
1420221597609927897, 7.548918, -4.163517, -13.565547, -1.314536, 0.372843, 1.025850
1420221595769488371, 5.932832, -0.505177, -13.651738, 3.226686, -4.897020, 3.047722
1420221598110050487, 1.417367, -4.740520, -15.057135, 2.727077, -2.962500, 0.589091
1420221602165632221, 0.356736, -2.846706, -5.923255, -0.855407, 0.301470, -0.117179
1420221594574221749, -4.630386, -5.099649, -4.438850, 0.435693, -4.356932, 0.775513
1420221590762303207, -9.595961, -15.756242, -11.745954, 0.644485, 6.206231, -0.717988
1420221598425118590, -6.232107, 2.834735, -17.453730, 2.694054, -1.270860, 0.435693
1420221594123989729, -11.042058, -7.544129, -0.581791, 1.005610, 7.246994, -2.886867
1420221602795691945, 11.444284, -5.147533, -19.612701, 6.294648, 1.295362, 0.642354
1420221603095717841, -0.174777, 1.608904, 6.550536, 3.848800, 0.911866, -1.024784
1420221600425440690, -1.240196, -8.094796, 8.408437, -5.008873, -2.519350, -2.265817
1420221599320282939, 3.071761, 3.208230, -19.612701, 0.800014, -2.359561, 0.713727
1420221593158487075, -4.237737, -6.191406, -9.947908, 1.136637, -3.679423, 2.257295
1420221589206919459, -0.926556, 0.519542, 4.364630, -5.415804, 0.234358, -0.716923
1420221598020031029, 3.292027, 1.726219, -19.612701, 0.370712, -3.063700, 0.884169
1420221591047432711, 0.646434, -2.207454, -14.695610, -3.076484, -3.518569, 2.325472
1420221600220414327, -0.799663, -10.462662, -18.658014, 3.840278, 0.291882, 1.300688
1420221601705586938, -2.803610, -3.062184, 3.167529, -5.184642, -2.736664, -2.702576
1420221599220266819, -4.019865, 3.852271, -2.906561, -6.698383, -3.203250, -2.682336
1420221596709653247, -10.228029, -5.511452, -15.686810, 0.951281, -0.708401, 1.081243
1420221593263542263, -8.518570, -6.469133, -13.089101, 1.936651, 1.350755, 1.405084
1420221600240416899, 0.253785, -11.439496, -19.612701, 3.375823, 3.439739, 1.547829
1420221596984732397, -13.886370, 5.750873, 0.392649, 2.235990, 2.129464, -2.795254
1420221603515753625, 1.486799, 4.434062, 8.046912, 0.120375, -0.129962, -0.252468
1420221594279069647, -3.069367, 1.956063, -4.000711, -1.037567, -3.024286, -0.044741
1420221591957865130, -11.319786, -9.526528, -15.356410, 1.470065, 3.384345, 0.434628
1420221595304400253, -8.765172, -9.552865, -12.828133, 1.361408, 1.449825, 0.976847
1420221588856919459, 0.301669, 3.931279, 9.157822, -0.364320, -0.299339, -0.292948
1420221602450659239, 2.789245, -1.472434, -8.827422, -1.203749, 0.506001, -0.263120
1420221596724655878, -10.386047, -5.877765, -14.566323, 0.809601, -0.116114, 0.815993
1420221595124365837, -2.420538, 2.640805, -11.604695, 1.382713, -4.468784, 2.900715
1420221592418100926, -3.019088, -1.592144, -11.932701, 0.319579, -3.439739, 3.100985
1420221595474432757, -12.313379, -10.678140, -1.539472, 1.218663, 6.928480, -3.054113
1420221599360289387, -2.001553, 7.366959, -10.259154, 3.693272, -3.507916, 0.761664
1420221598265083998, 0.593762, -5.418078, 8.604761, 3.505785, 2.288188, -1.252751
1420221599195262789, -3.275268, -1.340753, 1.426944, -5.443501, -2.495914, -2.854909
1420221593198508099, -7.046135, -5.475539, -13.860034, 1.432781, -1.567004, 2.071939
1420221591372580391, -12.873623, -10.484209, -12.943054, 0.456998, 6.421414, -2.322276
1420221602340648811, 5.432444, -1.762132, -8.549694, -0.709466, -1.006675, -0.664725
1420221603435746809, -0.311246, 5.188235, 8.348581, 0.045806, -0.101200, -0.071373
1420221590827332743, -7.630321, -10.747571, -1.754950, 2.443717, 6.305300, -1.536111
1420221595374413637, -11.870452, -9.109938, -12.540829, 1.266599, 3.986219, -0.894822
1420221596719655001, -10.271125, -5.590461, -14.990097, 0.856473, -0.344080, 0.901214
1420221589231919459, -0.421380, 0.694318, 3.119645, -7.341803, -0.105461, -0.550742
1420221603470749791, -0.565032, 4.498705, 8.638280, 0.078830, -0.076699, -0.086286
1420221590017050954, -9.165004, -11.113884, -19.612701, 1.385909, -0.928911, 1.343298
1420221599640334523, -4.855441, 2.636016, -15.057135, -9.520268, -3.163835, -1.488174
1420221594649260419, -10.524911, -7.637504, -13.242330, -0.064981, 1.560612, 0.242880
1420221592177977902, -8.145074, 6.007052, 9.232041, 1.013067, -0.566721, -2.982740
1420221602905701653, 1.968034, -3.380613, -17.544710, 18.160627, 3.259709, -0.249272
1420221602200635539, 0.852336, -0.869095, -8.717288, -0.445281, 0.282295, 0.465521
